neuron_i_1based,neuron_j_1based,J
1,2,0.09990870929496577
1,3,0.14029754646743722
1,4,0.1356332943287039
1,5,0.043600474811118194
1,6,0.011540136930606317
1,7,-0.03190388989150481
1,8,-0.01784766841463004
1,9,0.031105797776754856
1,10,0.04565005306477028
1,11,0.06211160439363273
1,12,-0.01014490489377021
1,13,0.09712549468314134
1,14,0.03880892338156946
1,15,0.03313009986695575
2,3,0.06820615024205595
2,4,0.026028964849449894
2,5,-0.028165894906374955
2,6,0.06901159697997039
2,7,0.132077311785198
2,8,0.0934374765053301
2,9,0.09996104468095404
2,10,0.01009512060285186
2,11,0.0436068371451476
2,12,-0.003725299597987926
2,13,0.03975925891877137
2,14,0.0623939666712483
2,15,0.15749323393828682
3,4,0.06695310851575598
3,5,0.07315967840793824
3,6,0.0286295769246371
3,7,0.08508499078848596
3,8,0.03491260896009493
3,9,0.030260581983630058
3,10,0.07288229713186335
3,11,0.08829184979847339
3,12,0.09969387930739841
3,13,0.0693876116462875
3,14,-0.0025369409899972657
3,15,0.04537387804767554
4,5,0.11570063552585169
4,6,0.08472283618379961
4,7,0.049276794229067736
4,8,0.0765285554697804
4,9,0.02021947368454442
4,10,0.05394458516020591
4,11,0.038917155617147606
4,12,0.009674560194954347
4,13,0.07160941017021882
4,14,0.1266988058615409
4,15,0.05762480971588581
5,6,-0.01561905420406256
5,7,0.07897132258831488
5,8,0.060667962906330204
5,9,0.09948539699332129
5,10,-0.012139805113905295
5,11,0.10145201292500226
5,12,0.04293627141089975
5,13,0.025404188356323555
5,14,0.02494405892167433
5,15,0.06900158218988213
6,7,0.11049071474699966
6,8,0.01275249345335192
6,9,0.11984293982277666
6,10,0.06088255745100018
6,11,0.08643972072570279
6,12,0.07559593123713275
6,13,-0.01986995445796385
6,14,0.07326662997851566
6,15,-0.005387748428299861
7,8,0.09628617621543001
7,9,0.018885693079040127
7,10,0.06761464035994014
7,11,0.022701645004658648
7,12,-0.0024163082516655285
7,13,0.1151788782244093
7,14,0.057133970604684475
7,15,0.011774844009502879
8,9,0.04405600385940502
8,10,0.07886470269398181
8,11,-0.032017582008055906
8,12,0.09184576683171551
8,13,0.06559993044710025
8,14,-0.16094900361820072
8,15,0.07637699246615881
9,10,0.017515680141124933
9,11,0.08109212538761139
9,12,0.07501129105852805
9,13,0.015010052086128715
9,14,0.11612198397905445
9,15,0.042545636541183256
10,11,0.10340806004887583
10,12,0.06170528233424207
10,13,0.054452076713166715
10,14,0.05591475969993392
10,15,0.013298675526512548
11,12,0.0507324139167544
11,13,0.06417638159862668
11,14,-0.03802033747166778
11,15,0.11775109469330934
12,13,0.10593724232402066
12,14,0.12122946439733148
12,15,0.0846723099113036
13,14,0.0837269503175624
13,15,0.1364988602561118
14,15,0.07105097579796578
