K,count_data,count_ising,P_data,P_ising,P_independent
0,77,7397,0.077,0.07397,0.019040583878971194
1,155,15072,0.155,0.15072,0.0863614444240733
2,169,18155,0.169,0.18155,0.18274217687080826
3,161,16715,0.161,0.16715,0.2393055496472633
4,157,13677,0.157,0.13677,0.2168879383235372
5,97,10059,0.097,0.10059,0.14410775690249814
6,63,7052,0.063,0.07052,0.072515628935043
7,47,4687,0.047,0.04687,0.028140777116405627
8,33,3003,0.033,0.03003,0.008490998236839496
9,12,1915,0.012,0.01915,0.0019920383921723933
10,17,1125,0.017,0.01125,0.00036040527855329453
11,6,632,0.006,0.00632,4.938184731326752e-05
12,3,323,0.003,0.00323,4.960202994074165e-06
13,2,144,0.002,0.00144,3.4481245837800666e-07
14,1,36,0.001,0.00036,1.4833387609184318e-08
15,0,8,0.0,8e-05,2.976815163900191e-10
