triplet_corr_orig,triplet_corr_model,triplet_corr_independent
-0.28000000000000014,-0.26324000000000036,-0.1483109600000003
-0.27000000000000013,-0.2500000000000004,-0.1455231600000003
-0.22000000000000008,-0.2206400000000002,-0.1483109600000003
-0.2340000000000001,-0.2345000000000003,-0.1510987600000003
-0.2320000000000001,-0.23836000000000024,-0.1471958400000003
-0.27000000000000013,-0.2344000000000003,-0.1533290000000003
-0.28000000000000014,-0.23872000000000032,-0.14496560000000028
-0.27200000000000013,-0.22596000000000024,-0.1494260800000003
-0.2520000000000001,-0.2389600000000003,-0.14496560000000028
-0.2260000000000001,-0.2066000000000002,-0.13771732000000028
-0.28800000000000014,-0.2579600000000003,-0.1572319200000003
-0.2540000000000001,-0.25856000000000035,-0.16782556000000035
-0.2420000000000001,-0.2628600000000003,-0.1510987600000003
-0.27600000000000013,-0.26206000000000035,-0.1460723040000003
-0.27400000000000013,-0.2484600000000003,-0.14887062400000028
-0.2400000000000001,-0.24248000000000028,-0.1516689440000003
-0.2580000000000001,-0.24050000000000024,-0.14775129600000028
-0.2320000000000001,-0.2377800000000003,-0.1539076000000003
-0.21800000000000008,-0.24026000000000025,-0.14551264000000028
-0.2620000000000001,-0.2547800000000003,-0.1499899520000003
-0.23800000000000013,-0.25922000000000034,-0.14551264000000028
-0.2400000000000001,-0.23618000000000028,-0.13823700800000027
-0.31800000000000017,-0.2704200000000004,-0.1578252480000003
-0.2480000000000001,-0.2594600000000003,-0.16845886400000035
-0.29200000000000015,-0.2538400000000003,-0.1516689440000003
-0.27600000000000013,-0.2512600000000003,-0.1460723040000003
-0.2460000000000001,-0.24364000000000033,-0.1488180240000003
-0.2440000000000001,-0.23058000000000028,-0.1449740160000003
-0.21800000000000008,-0.2352600000000003,-0.1510146000000003
-0.2640000000000001,-0.2313800000000003,-0.14277744000000028
-0.2280000000000001,-0.2406200000000003,-0.1471705920000003
-0.2280000000000001,-0.2412200000000003,-0.14277744000000028
-0.2260000000000001,-0.2139000000000002,-0.13563856800000026
-0.2680000000000001,-0.2680600000000003,-0.15485860800000031
-0.2500000000000001,-0.27478000000000036,-0.16529234400000034
-0.2460000000000001,-0.2504000000000003,-0.1488180240000003
